Country,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Migration
Mongolia,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038,25
North Macedonia,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034,29
Nigeria,85,5.265,0.696,1.111,0.245,0.426,0.215,0.0409999999999999,354
Kyrgyzstan,86,5.261,0.551,1.438,0.723,0.508,0.3,0.023,1
Turkmenistan,87,5.247,1.052,1.538,0.657,0.393999999999999,0.244,0.0279999999999999,0
Algeria,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114,826
Morocco,89,5.20799999999999,0.800999999999999,0.782,0.782,0.418,0.036,0.076,345
Azerbaijan,90,5.20799999999999,1.043,1.147,0.769,0.351,0.035,0.182,92
Lebanon,91,5.197,0.987,1.224,0.815,0.216,0.166,0.027,19
Indonesia,92,5.192,0.930999999999999,1.203,0.66,0.491,0.498,0.0279999999999999,0
Vietnam,94,5.175,0.741,1.34599999999999,0.851,0.542999999999999,0.147,0.073,7
Bhutan,95,5.082,0.813,1.321,0.604,0.457,0.37,0.166999999999999,0
Cameroon,96,5.044,0.548999999999999,0.91,0.331,0.381,0.187,0.037,53
Bulgaria,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004,3
Ghana,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04,32
Nepal,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089,8
Jordan,101,4.906,0.837,1.225,0.815,0.382999999999999,0.11,0.13,5
Benin,102,4.883,0.392999999999999,0.437,0.397,0.349,0.175,0.0819999999999999,6
Gabon,104,4.79899999999999,1.057,1.183,0.571,0.295,0.043,0.055,3
Laos,105,4.796,0.764,1.03,0.551,0.547,0.266,0.163999999999999,0
South Africa,106,4.72199999999999,0.96,1.351,0.469,0.389,0.13,0.055,1
Albania,107,4.71899999999999,0.947,0.848,0.874,0.382999999999999,0.178,0.027,134
Venezuela,108,4.707,0.96,1.42699999999999,0.805,0.154,0.064,0.047,41
Cambodia,109,4.7,0.574,1.122,0.637,0.609,0.231999999999999,0.062,0
Senegal,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072,38
Somalia,112,4.668,0.0,0.698,0.268,0.558999999999999,0.243,0.27,427
Namibia,113,4.63899999999999,0.879,1.313,0.477,0.401,0.07,0.0559999999999999,0
Niger,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102,8
Burkina Faso,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113,6
Armenia,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064,40
Iran,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125,539
Guinea,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086,131
Georgia,119,4.519,0.885999999999999,0.665999999999999,0.752,0.346,0.043,0.163999999999999,601
Kenya,121,4.50899999999999,0.512,0.983,0.581,0.431,0.372,0.053,7
Mauritania,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088,6
Mozambique,123,4.466,0.204,0.986,0.39,0.494,0.196999999999999,0.138,1
Tunisia,124,4.461,0.920999999999999,1.0,0.815,0.166999999999999,0.059,0.055,152
Bangladesh,125,4.456,0.562,0.927999999999999,0.723,0.527,0.166,0.143,12
Iraq,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089,550
Mali,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052,26
Sierra Leone,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045,12
Sri Lanka,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047,721
Myanmar,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172,0
Chad,132,4.35,0.35,0.765999999999999,0.192,0.174,0.198,0.078,11
Ukraine,133,4.332,0.82,1.39,0.739,0.178,0.187,0.01,54
Ethiopia,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1,171
Uganda,136,4.189,0.332,1.069,0.442999999999999,0.356,0.252,0.06,15
Egypt,137,4.166,0.912999999999999,1.039,0.644,0.241,0.076,0.067,44
Zambia,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087,0
Togo,139,4.085,0.275,0.572,0.41,0.293,0.177,0.085,25
India,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085,20
Liberia,141,3.975,0.073,0.922,0.442999999999999,0.37,0.233,0.033,9
Comoros,142,3.973,0.273999999999999,0.757,0.505,0.142,0.275,0.078,0
Madagascar,143,3.933,0.273999999999999,0.915999999999999,0.555,0.148,0.168999999999999,0.0409999999999999,0
Lesotho,144,3.802,0.489,1.169,0.168,0.359,0.107,0.093,0
Burundi,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18,29
Zimbabwe,146,3.663,0.366,1.114,0.433,0.361,0.151,0.089,6
Haiti,147,3.597,0.322999999999999,0.688,0.449,0.026,0.419,0.11,3
Botswana,148,3.488,1.041,1.145,0.537999999999999,0.455,0.025,0.1,0
Syria,149,3.46199999999999,0.619,0.377999999999999,0.44,0.013,0.331,0.141,1100
Malawi,150,3.41,0.191,0.56,0.495,0.442999999999999,0.218,0.089,0
Yemen,151,3.38,0.287,1.163,0.462999999999999,0.143,0.108,0.077,17
Rwanda,152,3.33399999999999,0.359,0.711,0.614,0.555,0.217,0.411,4
Tanzania,153,3.231,0.476,0.885,0.499,0.417,0.276,0.147,4
Afghanistan,154,3.203,0.35,0.517,0.361,0.0,0.158,0.025,1397
Central African Republic,155,3.083,0.026,0.0,0.105,0.225,0.235,0.035,5
South Sudan,156,2.853,0.306,0.575,0.295,0.01,0.201999999999999,0.091,5
