Country or region,Score
Afghanistan,3.6319999999999997
Albania,4.586
Algeria,5.295
Angola,3.795
Argentina,6.388
Armenia,4.321000000000001
Australia,7.272
Austria,7.138999999999999
Azerbaijan,5.2010000000000005
Bahrain,6.105
Bangladesh,4.5
Belarus,5.483
Belgium,6.9270000000000005
Belize,5.956
Benin,4.141
Bhutan,5.082
Bolivia,5.752000000000001
Bosnia and Herzegovina,5.129
Botswana,3.59
Brazil,6.419
Bulgaria,4.933
Burkina Faso,4.4239999999999995
Burundi,2.905
Cambodia,4.433
Cameroon,4.975
Canada,7.327999999999999
Central African Republic,3.083
Chad,4.301
Chile,6.476
China,5.246
Colombia,6.26
Congo (Brazzaville),4.559
Congo (Kinshasa),4.245
Costa Rica,7.072
Croatia,5.321000000000001
Cyprus,5.7620000000000005
Czech Republic,6.711
Denmark,7.555
Dominican Republic,5.3020000000000005
Ecuador,5.973
Egypt,4.419
El Salvador,6.167000000000001
Estonia,5.739
Ethiopia,4.35
Finland,7.632000000000001
France,6.489
Gabon,4.758
Georgia,4.34
Germany,6.965
Ghana,4.657
Greece,5.358
Guatemala,6.382000000000001
Guinea,3.964
Haiti,3.582
Honduras,5.504
Hong Kong,5.43
Hungary,5.62
Iceland,7.495
India,4.19
Indonesia,5.093
Iran,4.707
Iraq,4.456
Ireland,6.977
Israel,6.814
Italy,6.0
Ivory Coast,4.671
Jamaica,5.89
Japan,5.915
Jordan,5.1610000000000005
Kazakhstan,5.79
Kenya,4.41
Kosovo,5.662000000000001
Kuwait,6.082999999999999
Kyrgyzstan,5.131
Laos,4.623
Latvia,5.933
Lebanon,5.358
Lesotho,3.8080000000000003
Liberia,3.495
Libya,5.566
Lithuania,5.952000000000001
Luxembourg,6.91
Macedonia,5.185
Madagascar,3.7739999999999996
Malawi,3.5869999999999997
Malaysia,6.322
Mali,4.447
Malta,6.627000000000001
Mauritania,4.356
Mauritius,5.891
Mexico,6.4879999999999995
Moldova,5.64
Mongolia,5.125
Montenegro,5.347
Morocco,5.254
Mozambique,4.417
Myanmar,4.308
Namibia,4.441
Nepal,4.88
Netherlands,7.441
New Zealand,7.324
Nicaragua,6.141
Niger,4.166
Nigeria,5.155
Northern Cyprus,5.835
Norway,7.593999999999999
Pakistan,5.472
Palestinian Territories,4.743
Panama,6.43
Paraguay,5.681
Peru,5.662999999999999
Philippines,5.524
Poland,6.122999999999999
Portugal,5.41
Qatar,6.374
Romania,5.945
Russia,5.81
Rwanda,3.408
Saudi Arabia,6.371
Senegal,4.631
Serbia,5.398
Sierra Leone,4.571000000000001
Singapore,6.343
Slovakia,6.172999999999999
Slovenia,5.9479999999999995
Somalia,4.982
South Africa,4.724
South Korea,5.875
South Sudan,3.2539999999999996
Spain,6.31
Sri Lanka,4.471
Sudan,4.138999999999999
Sweden,7.314
Switzerland,7.487
Syria,3.4619999999999997
Taiwan,6.441
Tajikistan,5.199
Tanzania,3.303
Thailand,6.072
Togo,3.9989999999999997
Trinidad & Tobago,6.192
Tunisia,4.592
Turkey,5.483
Turkmenistan,5.636
Uganda,4.1610000000000005
Ukraine,4.103
United Arab Emirates,6.774
United Kingdom,7.19
United States,6.886
Uruguay,6.379
Uzbekistan,6.096
Venezuela,4.806
Vietnam,5.103
Yemen,3.355
Zambia,4.377
Zimbabwe,3.6919999999999997
