Country,Happiness Score
Afghanistan,3.36
Albania,4.655
Algeria,6.355
Angola,3.866
Argentina,6.65
Armenia,4.36
Australia,7.313
Austria,7.119
Azerbaijan,5.291
Bahrain,6.218
Bangladesh,4.643
Belarus,5.8020000000000005
Belgium,6.928999999999999
Belize,5.956
Benin,3.484
Bhutan,5.196000000000001
Bolivia,5.822
Bosnia and Herzegovina,5.162999999999999
Botswana,3.9739999999999998
Brazil,6.952000000000001
Bulgaria,4.217
Burkina Faso,3.739
Burundi,2.905
Cambodia,3.907
Cameroon,4.513
Canada,7.404
Chad,3.763
Chile,6.705
China,5.245
Colombia,6.481
Comoros,3.9560000000000004
Congo (Brazzaville),4.236000000000001
Congo (Kinshasa),4.272
Costa Rica,7.087000000000001
Croatia,5.4879999999999995
Cyprus,5.546
Czech Republic,6.596
Denmark,7.526
Dominican Republic,5.155
Ecuador,5.976
Egypt,4.362
El Salvador,6.068
Estonia,5.517
Ethiopia,4.508
Finland,7.412999999999999
France,6.478
Gabon,4.121
Georgia,4.252
Germany,6.994
Ghana,4.276
Greece,5.033
Guatemala,6.324
Guinea,3.6069999999999998
Haiti,4.0280000000000005
Honduras,4.871
Hong Kong,5.457999999999999
Hungary,5.145
Iceland,7.501
India,4.404
Indonesia,5.314
Iran,4.813
Iraq,4.575
Ireland,6.907
Israel,7.267
Italy,5.977
Ivory Coast,3.9160000000000004
Jamaica,5.51
Japan,5.921
Jordan,5.303
Kazakhstan,5.919
Kenya,4.356
Kosovo,5.401
Kuwait,6.239
Kyrgyzstan,5.185
Laos,4.876
Latvia,5.56
Lebanon,5.129
Liberia,3.622
Libya,5.615
Lithuania,5.813
Luxembourg,6.871
Macedonia,5.121
Madagascar,3.695
Malawi,4.156000000000001
Malaysia,6.005
Mali,4.073
Malta,6.4879999999999995
Mauritania,4.2010000000000005
Mauritius,5.648
Mexico,6.778
Moldova,5.897
Mongolia,4.907
Montenegro,5.1610000000000005
Morocco,5.151
Myanmar,4.395
Namibia,4.574
Nepal,4.793
Netherlands,7.3389999999999995
New Zealand,7.334
Nicaragua,5.992000000000001
Niger,3.8560000000000003
Nigeria,4.875
North Cyprus,5.771
Norway,7.497999999999999
Pakistan,5.132000000000001
Palestinian Territories,4.754
Panama,6.7010000000000005
Paraguay,5.537999999999999
Peru,5.742999999999999
Philippines,5.279
Poland,5.835
Portugal,5.122999999999999
Puerto Rico,7.039
Qatar,6.375
Romania,5.528
Russia,5.856
Rwanda,3.515
Saudi Arabia,6.379
Senegal,4.218999999999999
Serbia,5.1770000000000005
Sierra Leone,4.635
Singapore,6.739
Slovakia,6.077999999999999
Slovenia,5.768
Somalia,5.44
Somaliland Region,5.0569999999999995
South Africa,4.459
South Korea,5.835
South Sudan,3.832
Spain,6.361000000000001
Sri Lanka,4.415
Sudan,4.138999999999999
Suriname,6.269
Sweden,7.291
Switzerland,7.5089999999999995
Syria,3.069
Taiwan,6.379
Tajikistan,4.996
Tanzania,3.6660000000000004
Thailand,6.474
Togo,3.303
Trinidad and Tobago,6.167999999999999
Tunisia,5.045
Turkey,5.388999999999999
Turkmenistan,5.6579999999999995
Uganda,3.739
Ukraine,4.324
United Arab Emirates,6.5729999999999995
United Kingdom,6.725
United States,7.104
Uruguay,6.545
Uzbekistan,5.987
Venezuela,6.084
Vietnam,5.061
Yemen,3.7239999999999998
Zambia,4.795
Zimbabwe,4.1930000000000005
